,Experiment,Plot,"Tree
 number","Height
a.s.l., m.","Temperature
sum, d.d.","Site index
H100","1=pine
2=spruce
3=birch

Tree
species","Stem
diameter",Height,"Age when tree died

Tree
age","Year
died","1=snag, less than 1/3 of tree height broken
2=snag, more than 1/3 of tree height broken, but standing part higher than 1.3.m


3=log, fallen with roots
4=log, broken below 1.3 m
5=log, man made
6=log, butt or other stem part left during logging


Appearance","when died

Original
stem
volume","Current
stem
volume","Original
wood
density","Current
wood
density","Original
stem
mass","Current
stem
mass","Decay
class",Var.20,cmass/omass,N_vector,E_vector
1,3,1,8,140,1222,22,1,17.1,17.89,92,1972,3,0.20385,0.11376,476.02739063,176.42269385,91.701083484,18.966004141,5,NA,0.206824209926693,61.21398,25.08944
2,3,1,9,140,1222,22,1,21,19.81,104,1984,3,0.3556,0.22529,478.59252725,462.42060692,160.82719004,98.448907913,2,NA,0.612140943882153,61.21398,25.08944
3,3,1,107,140,1222,22,1,9.45,12.29,92,1972,2,0.04361,0.03605,480.00359469,447.75318578,19.781644142,10.924497686,2,NA,0.55225428218099,61.21398,25.08944
4,3,1,110,140,1222,22,1,16.4,16.34,104,1984,1,0.18565,0.16875,479.8542079,478.8542079,84.185262343,76.362281966,1,NA,0.907074229392712,61.21398,25.08944
5,3,1,115,140,1222,22,1,12.8,15.14,92,1972,3,0.09717,0.07089,477.88711844,325.19048064,43.882295277,21.784851748,3,NA,0.496438292721167,61.21398,25.08944
6,3,1,251,140,1222,22,1,22.2,20.61,104,1984,1,0.40666,0.38514,475.64956487,436.20311357,182.78913119,158.75930747,1,NA,0.868538005714234,61.21398,25.08944
7,3,1,284,140,1222,22,1,12.7,13.06,104,1984,1,0.08809,0.07787,482.49642666,290.1048951,40.165439162,21.347992432,2,NA,0.531501531600259,61.21398,25.08944
8,3,1,352,140,1222,22,1,17.7,18.21,92,1972,1,0.2221,0.18615,473.47694797,472.47694797,99.375472486,83.114246752,1,NA,0.836365802071624,61.21398,25.08944
9,3,1,354,140,1222,22,1,10.75,13.48,92,1972,2,0.06141,0.05483,478.75747611,369.84615385,27.783469295,19.512996852,1,NA,0.702323984266127,61.21398,25.08944
10,3,1,362,140,1222,22,1,17,16.86,115,1995,1,0.19798,0.16779,483.79768619,462.47629882,90.514241287,73.33095878,1,NA,0.810159348819864,61.21398,25.08944
