tmax,u,t,dens,y
13,0.1680216,0,440,1
13,0.1680216,2,390,0.886363636363636
13,0.1680216,3,400,0.909090909090909
13,0.1680216,12,320,0.727272727272727
13,0.1680216,12,200,0.454545454545455
13,0.1680216,22,110,0.25
13,0.1680216,22,90,0.204545454545455
13,0.1680216,24,120,0.272727272727273
13,0.1680216,24,90,0.204545454545455
13,0.1680216,24,80,0.181818181818182
13,0.1680216,27,60,0.136363636363636
13,0.1680216,27,70,0.159090909090909
13,0.1680216,28,50,0.113636363636364
13,0.1680216,32,95,0.215909090909091
13,0.1680216,32,80,0.181818181818182
13,0.1680216,32,70,0.159090909090909
13,0.1680216,32,60,0.136363636363636
13,0.1680216,32,50,0.113636363636364
13,0.1680216,34,70,0.159090909090909
13,0.1680216,35,60,0.136363636363636
13,0.1680216,36,40,0.090909090909091
13,0.1680216,37,50,0.113636363636364
13,0.1680216,39,50,0.113636363636364
13,0.1680216,42,60,0.136363636363636
13,0.1680216,42,70,0.159090909090909
13,0.1680216,45,40,0.090909090909091
30,0.1680216,0,450,1
30,0.1680216,7,390,0.866666666666667
30,0.1680216,7,340,0.755555555555556
30,0.1680216,17,390,0.866666666666667
30,0.1680216,17,370,0.822222222222222
30,0.1680216,17,260,0.577777777777778
30,0.1680216,17,230,0.511111111111111
30,0.1680216,17,220,0.488888888888889
30,0.1680216,21,250,0.555555555555556
30,0.1680216,22,360,0.8
30,0.1680216,22,230,0.511111111111111
30,0.1680216,23,370,0.822222222222222
30,0.1680216,23,250,0.555555555555556
30,0.1680216,23,230,0.511111111111111
30,0.1680216,23,220,0.488888888888889
30,0.1680216,32,200,0.444444444444444
30,0.1680216,32,180,0.4
30,0.1680216,33,200,0.444444444444444
30,0.1680216,38,250,0.555555555555556
30,0.1680216,38,150,0.333333333333333
30,0.1680216,38,130,0.288888888888889
30,0.1680216,38,100,0.222222222222222
30,0.1680216,38,80,0.177777777777778
30,0.1680216,40,130,0.288888888888889
30,0.1680216,40,40,0.088888888888889
30,0.1680216,42,140,0.311111111111111
30,0.1680216,42,130,0.288888888888889
30,0.1680216,42,90,0.2
30,0.1680216,43,160,0.355555555555556
30,0.1680216,43,140,0.311111111111111
30,0.1680216,43,120,0.266666666666667
30,0.1680216,43,80,0.177777777777778
30,0.1680216,43,60,0.133333333333333
30,0.1680216,47,60,0.133333333333333
30,0.1680216,52,40,0.088888888888889
30,0.1680216,52,50,0.111111111111111
30,0.1680216,57,90,0.2
30,0.1680216,59,110,0.244444444444444
30,0.1680216,59,90,0.2
30,0.1680216,59,80,0.177777777777778
30,0.1680216,59,70,0.155555555555556
30,0.1680216,59,50,0.111111111111111
30,0.1680216,63,70,0.155555555555556
50,0.1680216,0,460,1
50,0.1680216,21,270,0.58695652173913
50,0.1680216,26,250,0.543478260869565
50,0.1680216,26,220,0.478260869565218
50,0.1680216,26,210,0.456521739130435
50,0.1680216,26,190,0.41304347826087
50,0.1680216,29,230,0.5
50,0.1680216,29,80,0.173913043478261
50,0.1680216,38,110,0.239130434782609
50,0.1680216,40,100,0.217391304347826
50,0.1680216,40,70,0.152173913043478
50,0.1680216,40,75,0.16304347826087
50,0.1680216,45,160,0.347826086956522
50,0.1680216,45,150,0.326086956521739
50,0.1680216,45,110,0.239130434782609
50,0.1680216,45,120,0.260869565217391
50,0.1680216,50,120,0.260869565217391
50,0.1680216,50,110,0.239130434782609
50,0.1680216,50,100,0.217391304347826
50,0.1680216,50,90,0.195652173913043
50,0.1680216,50,80,0.173913043478261
50,0.1680216,50,50,0.108695652173913
50,0.1680216,52,80,0.173913043478261
50,0.1680216,55,90,0.195652173913043
50,0.1680216,55,80,0.173913043478261
50,0.1680216,55,85,0.184782608695652
50,0.1680216,55,60,0.130434782608696
50,0.1680216,55,50,0.108695652173913
50,0.1680216,60,130,0.282608695652174
50,0.1680216,60,100,0.217391304347826
50,0.1680216,60,90,0.195652173913043
50,0.1680216,67,120,0.260869565217391
50,0.1680216,67,100,0.217391304347826
50,0.1680216,68,60,0.130434782608696
50,0.1680216,68,50,0.108695652173913
50,0.1680216,68,30,0.065217391304348
50,0.1680216,71,100,0.217391304347826
50,0.1680216,71,90,0.195652173913043
50,0.1680216,71,80,0.173913043478261
